signal_id,listing_id,views,wishlist_count,time_period
136,1100750,4920,199,2024-01-01
137,1101302,2793,283,2024-01-01
138,1101855,226,477,2024-01-01
139,1102407,1412,368,2024-01-01
140,1102959,1766,328,2024-01-01
141,1103512,4646,431,2024-01-01
142,1106825,4964,49,2024-01-01
143,1107378,4137,154,2024-01-01
144,1107930,3119,155,2024-01-01
145,1108482,1589,147,2024-01-01
146,1109035,3476,421,2024-01-01
147,1110139,2059,95,2024-01-01
148,1110691,2596,337,2024-01-01
149,1111244,3401,347,2024-01-01
150,1111796,3421,413,2024-01-01
151,1112348,458,276,2024-01-01
152,1112901,2189,421,2024-01-01
153,1113453,4992,342,2024-01-01
154,1114005,2340,253,2024-01-01
155,1114558,3249,95,2024-01-01
156,1115662,3187,187,2024-01-01
157,1116214,241,323,2024-01-01
158,1116767,449,208,2024-01-01
159,1119528,4614,310,2024-01-01
160,1120081,4336,39,2024-01-01
161,1120633,300,432,2024-01-01
162,1121185,4938,323,2024-01-01
163,1121737,792,266,2024-01-01
164,1122290,4657,368,2024-01-01
165,1122842,2713,167,2024-01-01
166,1123394,1482,20,2024-01-01
167,1123947,2059,311,2024-01-01
168,1124499,1552,96,2024-01-01
169,1125051,802,286,2024-01-01
170,1125604,4317,157,2024-01-01
171,1126156,3942,249,2024-01-01
172,1126708,4665,298,2024-01-01
173,1127260,1694,397,2024-01-01
174,1127813,1146,487,2024-01-01
175,1128365,3850,319,2024-01-01
176,1128917,1362,305,2024-01-01
177,1129470,2681,294,2024-01-01
178,1130022,4175,112,2024-01-01
179,1130574,3029,168,2024-01-01
180,1131127,1758,212,2024-01-01
181,1131679,2681,103,2024-01-01
182,1132231,669,360,2024-01-01
183,1132783,3027,113,2024-01-01
184,1133336,1543,473,2024-01-01
185,1133888,4657,34,2024-01-01
186,1134993,2519,192,2024-01-01
187,1135545,4533,164,2024-01-01
188,1136097,1538,71,2024-01-01
189,1136650,4737,271,2024-01-01
190,1137202,2198,442,2024-01-01
191,1141068,506,48,2024-01-01
192,1141620,1961,289,2024-01-01
193,1142173,792,95,2024-01-01
194,1142725,4812,245,2024-01-01
195,1143277,130,212,2024-01-01
196,1143829,3802,464,2024-01-01
197,1144382,1817,47,2024-01-01
198,1144934,3076,147,2024-01-01
199,1145486,4373,411,2024-01-01
200,1146591,2129,417,2024-01-01
201,1147143,3678,47,2024-01-01
202,1147696,616,349,2024-01-01
203,1151009,2177,57,2024-01-01
204,1151562,3456,498,2024-01-01
205,1152114,1660,163,2024-01-01
206,1152666,2343,230,2024-01-01
207,1153219,2910,344,2024-01-01
208,1153771,1430,218,2024-01-01
209,1154323,4287,485,2024-01-01
210,1154875,1281,175,2024-01-01
211,1155428,3352,39,2024-01-01
212,1155980,417,241,2024-01-01
213,1156532,1042,332,2024-01-01
214,1157085,1858,96,2024-01-01
215,1157637,4593,216,2024-01-01
216,1158189,1006,117,2024-01-01
217,1158742,1382,76,2024-01-01
218,1159294,3961,467,2024-01-01
219,1160398,4555,311,2024-01-01
220,1160951,709,317,2024-01-01
221,1161503,135,340,2024-01-01
222,1162055,1212,323,2024-01-01
223,1162608,991,137,2024-01-01
224,1163160,1671,455,2024-01-01
225,1163712,1639,349,2024-01-01
226,1164817,3381,133,2024-01-01
227,1165369,3493,296,2024-01-01
228,1165921,3210,283,2024-01-01
229,1166474,844,486,2024-01-01
230,1167026,2364,320,2024-01-01
231,1167578,4149,476,2024-01-01
232,1168131,4855,480,2024-01-01
233,1168683,2730,180,2024-01-01
234,1169235,2321,253,2024-01-01
235,1169788,3795,324,2024-01-01
236,1170340,3552,408,2024-01-01
237,1171444,4239,100,2024-01-01
238,1171997,314,265,2024-01-01
239,1172549,607,132,2024-01-01
240,1173101,4444,127,2024-01-01
241,1173654,947,262,2024-01-01
242,1174206,1700,433,2024-01-01
243,1174758,1969,232,2024-01-01
244,1175311,689,11,2024-01-01
245,1175863,3213,44,2024-01-01
246,1176415,3031,13,2024-01-01
247,1176967,4730,455,2024-01-01
248,1178072,3035,56,2024-01-01
249,1178624,1173,219,2024-01-01
250,1179177,4614,161,2024-01-01
251,1179729,3430,419,2024-01-01
252,1180281,376,370,2024-01-01
253,1180834,4814,314,2024-01-01
254,1181386,1920,70,2024-01-01
255,1181938,1161,409,2024-01-01
256,1182490,1918,231,2024-01-01
257,1185804,796,290,2024-01-01
258,1186357,3521,442,2024-01-01
259,1186909,1767,222,2024-01-01
260,1187461,3840,304,2024-01-01
261,1188013,2513,452,2024-01-01
262,1188566,4651,478,2024-01-01
263,1189118,1069,267,2024-01-01
264,1189670,1661,195,2024-01-01
265,1190223,1212,202,2024-01-01
266,1190775,3011,179,2024-01-01
267,1191327,775,216,2024-01-01
268,1191880,4489,382,2024-01-01
269,1192432,2837,183,2024-01-01
270,1192984,956,335,2024-01-01
271,1193536,2890,114,2024-01-01
272,1194089,1538,446,2024-01-01
273,1194641,3875,158,2024-01-01
274,1195193,3894,380,2024-01-01
275,1195746,875,205,2024-01-01
276,1196298,3502,186,2024-01-01
277,1196850,3103,260,2024-01-01
278,1197403,998,337,2024-01-01
279,1197955,719,307,2024-01-01
280,1198507,1123,213,2024-01-01
281,1199059,4795,482,2024-01-01
282,1199612,3106,192,2024-01-01
283,1200164,650,380,2024-01-01
284,1201269,1437,154,2024-01-01
285,1201821,949,48,2024-01-01
286,1202373,2902,12,2024-01-01
287,1202926,4835,144,2024-01-01
288,1203478,193,329,2024-01-01
289,1204030,1017,121,2024-01-01
290,1204582,985,49,2024-01-01
291,1205135,1073,32,2024-01-01
292,1205687,3715,454,2024-01-01
293,1206239,2028,140,2024-01-01
294,1206792,1542,363,2024-01-01
295,1207344,1785,140,2024-01-01
296,1207896,2833,145,2024-01-01
297,1208449,2798,437,2024-01-01
298,1209001,184,45,2024-01-01
299,1209553,3809,15,2024-01-01
300,1210105,431,307,2024-01-01
301,1210658,2290,456,2024-01-01
302,1211210,362,120,2024-01-01
303,1211762,317,88,2024-01-01
304,1212315,719,33,2024-01-01
305,1212867,3665,215,2024-01-01
306,1215628,4077,95,2024-01-01
307,1216181,663,131,2024-01-01
308,1216733,1116,452,2024-01-01
309,1217285,411,383,2024-01-01
310,1217838,4699,264,2024-01-01
311,1218390,437,343,2024-01-01
312,1218942,3956,29,2024-01-01
313,1219495,918,456,2024-01-01
314,1220047,2151,414,2024-01-01
315,1220599,1821,223,2024-01-01
316,1221151,2662,181,2024-01-01
317,1221704,1934,489,2024-01-01
318,1222256,581,227,2024-01-01
319,1222808,2916,86,2024-01-01
320,1223361,2275,180,2024-01-01
321,1225570,4991,493,2024-01-01
322,1226122,2599,141,2024-01-01
323,1226674,3600,12,2024-01-01
324,1227227,4096,250,2024-01-01
325,1227779,3771,154,2024-01-01
326,1228331,371,22,2024-01-01
327,1228884,4348,189,2024-01-01
328,1229436,3208,298,2024-01-01
329,1229988,1486,467,2024-01-01
330,1231093,3086,263,2024-01-01
331,1231645,2928,15,2024-01-01
332,1232197,4414,228,2024-01-01
333,1232750,1987,406,2024-01-01
334,1233302,2497,286,2024-01-01
335,1233854,237,474,2024-01-01
336,1234407,3156,200,2024-01-01
337,1234959,3739,368,2024-01-01
338,1235511,2658,85,2024-01-01
339,1236064,3417,152,2024-01-01
340,1236616,535,143,2024-01-01
341,1237168,4636,452,2024-01-01
342,1237720,2598,249,2024-01-01
343,1238273,3720,253,2024-01-01
344,1238825,1166,180,2024-01-01
345,1239377,769,167,2024-01-01
346,1239930,3195,380,2024-01-01
347,1240482,2499,317,2024-01-01
348,1241034,1724,273,2024-01-01
349,1241587,2939,298,2024-01-01
350,1242139,1019,484,2024-01-01
351,1242691,910,374,2024-01-01
352,1243243,991,279,2024-01-01
353,1243796,1739,122,2024-01-01
354,1244348,3128,103,2024-01-01
355,1244900,1793,143,2024-01-01
356,1245453,2556,166,2024-01-01
357,1246005,2068,267,2024-01-01
358,1246557,2188,353,2024-01-01
359,1247110,4580,450,2024-01-01
360,1247662,4601,391,2024-01-01
361,1248214,1448,149,2024-01-01
362,1249319,3687,102,2024-01-01
363,1249871,3742,11,2024-01-01
364,1250423,2447,24,2024-01-01
365,1250976,1315,411,2024-01-01
366,1251528,1337,350,2024-01-01
367,1252080,2605,145,2024-01-01
368,1252633,1012,319,2024-01-01
369,1253185,1642,296,2024-01-01
370,1253737,3508,134,2024-01-01
371,1254289,1790,191,2024-01-01
372,1254842,4766,206,2024-01-01
373,1255394,2166,20,2024-01-01
374,1255946,4445,135,2024-01-01
375,1256499,3748,280,2024-01-01
376,1257051,578,65,2024-01-01
377,1257603,2330,451,2024-01-01
378,1258708,376,140,2024-01-01
379,1259260,3680,389,2024-01-01
380,1259812,3635,469,2024-01-01
381,1260365,3126,302,2024-01-01
382,1260917,1476,92,2024-01-01
383,1261469,4628,219,2024-01-01
384,1262022,3472,427,2024-01-01
385,1262574,3189,69,2024-01-01
386,1263126,2852,91,2024-01-01
387,1263679,1780,437,2024-01-01
388,1264231,4358,351,2024-01-01
389,1264783,3005,331,2024-01-01
390,1265335,3569,248,2024-01-01
391,1265888,3218,73,2024-01-01
392,1266440,3298,443,2024-01-01
393,1266992,4848,77,2024-01-01
394,1267545,4716,249,2024-01-01
395,1268097,3584,222,2024-01-01
396,1268649,838,489,2024-01-01
397,1271963,3796,143,2024-01-01
398,1272515,366,33,2024-01-01
399,1273620,2203,443,2024-01-01
400,1274172,3753,394,2024-01-01
401,1274725,550,362,2024-01-01
402,1275277,2694,473,2024-01-01
403,1275829,1284,262,2024-01-01
404,1276381,4987,83,2024-01-01
405,1276934,1931,465,2024-01-01
406,1277486,4750,27,2024-01-01
407,1278038,1202,320,2024-01-01
408,1278591,4438,102,2024-01-01
409,1279143,4423,138,2024-01-01
410,1279695,649,452,2024-01-01
411,1280248,454,406,2024-01-01
412,1280800,3319,176,2024-01-01
413,1281352,1388,110,2024-01-01
414,1281904,4175,116,2024-01-01
415,1282457,2917,86,2024-01-01
416,1283009,4748,17,2024-01-01
417,1283561,4994,443,2024-01-01
418,1284114,1814,38,2024-01-01
419,1284666,800,155,2024-01-01
420,1285218,3781,475,2024-01-01
421,1285771,4710,481,2024-01-01
422,1287427,3259,394,2024-01-01
423,1287980,4787,452,2024-01-01
424,1288532,1240,274,2024-01-01
425,1289084,142,131,2024-01-01
426,1289637,3221,240,2024-01-01
427,1290189,1026,288,2024-01-01
428,1290741,602,73,2024-01-01
429,1291294,1247,253,2024-01-01
430,1291846,933,48,2024-01-01
431,1292398,3426,38,2024-01-01
432,1292950,3975,301,2024-01-01
433,1293503,108,364,2024-01-01
434,1294055,640,436,2024-01-01
435,1294607,507,412,2024-01-01
436,1295160,3646,234,2024-01-01
437,1295712,1008,407,2024-01-01
438,1296264,4131,121,2024-01-01
439,1296817,3631,19,2024-01-01
440,1297369,2225,240,2024-01-01
441,1297921,1428,50,2024-01-01
442,1298473,721,252,2024-01-01
443,1299026,3246,220,2024-01-01
444,1299578,4687,459,2024-01-01
445,1300130,1916,68,2024-01-01
446,1300683,1022,265,2024-01-01
447,1301235,3340,452,2024-01-01
448,1301787,2829,291,2024-01-01
449,1302340,3893,221,2024-01-01
450,1302892,2181,321,2024-01-01
451,1303444,2676,247,2024-01-01
452,1303996,4656,71,2024-01-01
453,1304549,4909,429,2024-01-01
454,1305101,658,64,2024-01-01
455,1305653,827,157,2024-01-01
456,1306206,3689,193,2024-01-01
457,1306758,4353,70,2024-01-01
458,1307310,511,469,2024-01-01
459,1307863,3811,396,2024-01-01
460,1308415,1615,223,2024-01-01
461,1308967,622,182,2024-01-01
462,1309519,4292,298,2024-01-01
463,1310072,792,236,2024-01-01
464,1310624,3402,491,2024-01-01
465,1311176,4000,395,2024-01-01
466,1311729,1111,94,2024-01-01
467,1312281,1483,331,2024-01-01
468,1312833,1385,362,2024-01-01
469,1313386,3094,234,2024-01-01
470,1313938,2969,294,2024-01-01
471,1314490,570,170,2024-01-01
472,1315042,2661,147,2024-01-01
473,1315595,3307,245,2024-01-01
474,1316147,760,29,2024-01-01
475,1316699,2485,285,2024-01-01
476,1317252,3866,124,2024-01-01
477,1317804,2077,427,2024-01-01
478,1318356,2933,345,2024-01-01
479,1318909,3838,362,2024-01-01
480,1319461,2531,425,2024-01-01
481,1320013,4011,49,2024-01-01
482,1320565,1545,83,2024-01-01
483,1321118,4437,138,2024-01-01
484,1321670,4579,199,2024-01-01
485,1322222,2834,428,2024-01-01
486,1322775,3366,59,2024-01-01
487,1323327,678,233,2024-01-01
488,1323879,437,292,2024-01-01
489,1324432,1867,345,2024-01-01
490,1324984,752,414,2024-01-01
491,1325536,1149,365,2024-01-01
492,1326088,1002,18,2024-01-01
493,1326641,4095,53,2024-01-01
494,1327193,4908,361,2024-01-01
495,1327745,4098,201,2024-01-01
496,1328298,2174,473,2024-01-01
497,1328850,330,345,2024-01-01
498,1329402,4597,68,2024-01-01
499,1329955,4138,105,2024-01-01
500,1330507,1433,376,2024-01-01
501,1331059,2904,292,2024-01-01
502,1331611,3592,423,2024-01-01
503,1332164,605,498,2024-01-01
504,1332716,3048,140,2024-01-01
505,1333268,4121,135,2024-01-01
506,1333821,1636,253,2024-01-01
507,1334373,3420,297,2024-01-01
508,1334925,1517,242,2024-01-01
509,1335478,494,354,2024-01-01
510,1336030,795,415,2024-01-01
511,1336582,3250,190,2024-01-01
512,1337134,1229,228,2024-01-01
513,1337687,1115,115,2024-01-01
514,1338239,612,116,2024-01-01
515,1338791,2249,233,2024-01-01
516,1339344,3394,342,2024-01-01
517,1339896,377,372,2024-01-01
518,1340448,372,408,2024-01-01
519,1341001,2150,71,2024-01-01
520,1341553,248,84,2024-01-01
521,1342105,3460,297,2024-01-01
522,1342657,4206,484,2024-01-01
523,1343210,1410,116,2024-01-01
524,1343762,2908,67,2024-01-01
525,1344314,3518,216,2024-01-01
526,1344867,3332,156,2024-01-01
527,1345419,3332,371,2024-01-01
528,1345971,4731,59,2024-01-01
529,1346524,2273,315,2024-01-01
530,1347076,2976,265,2024-01-01
531,1347628,4812,58,2024-01-01
532,1348180,134,19,2024-01-01
533,1348733,4319,97,2024-01-01
534,1349285,3552,371,2024-01-01
535,1349837,4430,279,2024-01-01
536,1350390,4285,96,2024-01-01
537,1350942,2993,113,2024-01-01
538,1351494,887,121,2024-01-01
539,1352047,4730,132,2024-01-01
540,1352599,2566,261,2024-01-01
541,1353151,4512,87,2024-01-01
542,1353703,3054,453,2024-01-01
543,1354256,4105,498,2024-01-01
544,1354808,729,48,2024-01-01
545,1355360,350,30,2024-01-01
546,1355913,4943,111,2024-01-01
547,1356465,528,54,2024-01-01
548,1357017,3673,146,2024-01-01
549,1357570,1638,245,2024-01-01
550,1358122,3518,87,2024-01-01
551,1358674,3969,403,2024-01-01
552,1359226,4904,365,2024-01-01
553,1359779,4306,321,2024-01-01
554,1360331,2446,155,2024-01-01
555,1360883,4756,61,2024-01-01
556,1361436,4029,144,2024-01-01
557,1361988,4321,310,2024-01-01
558,1362540,2394,51,2024-01-01
559,1363093,2581,17,2024-01-01
560,1365854,4693,11,2024-01-01
561,1366406,494,60,2024-01-01
562,1366959,3663,239,2024-01-01
563,1367511,1467,291,2024-01-01
564,1368063,1742,412,2024-01-01
565,1368616,773,265,2024-01-01
566,1369168,2301,86,2024-01-01
567,1369720,2910,233,2024-01-01
568,1370272,3145,64,2024-01-01
569,1370825,4557,343,2024-01-01
570,1371377,2260,482,2024-01-01
571,1371929,4780,105,2024-01-01
572,1372482,2993,403,2024-01-01
573,1373034,4028,110,2024-01-01
574,1373586,1616,178,2024-01-01
575,1374139,4989,387,2024-01-01
576,1374691,2629,236,2024-01-01
577,1375243,2793,492,2024-01-01
578,1375795,2473,285,2024-01-01
579,1376348,3395,432,2024-01-01
580,1376900,1504,459,2024-01-01
581,1377452,2957,412,2024-01-01
582,1378005,4822,250,2024-01-01
583,1378557,125,116,2024-01-01
584,1379109,2472,342,2024-01-01
585,1379662,2332,132,2024-01-01
586,1380214,4290,130,2024-01-01
587,1380766,4602,111,2024-01-01
588,1381318,4365,246,2024-01-01
589,1381871,306,123,2024-01-01
590,1382423,4577,215,2024-01-01
591,1382975,1681,263,2024-01-01
592,1383528,3107,396,2024-01-01
593,1384080,1698,498,2024-01-01
594,1384632,1955,62,2024-01-01
595,1385185,1687,354,2024-01-01
596,1385737,1388,242,2024-01-01
597,1386289,3736,496,2024-01-01
598,1386841,1253,322,2024-01-01
599,1387394,3977,45,2024-01-01
600,1387946,2819,335,2024-01-01
601,1388498,1304,149,2024-01-01
602,1389051,2367,131,2024-01-01
603,1389603,2209,223,2024-01-01
604,1390155,2524,348,2024-01-01
605,1390708,1911,309,2024-01-01
606,1391260,1789,448,2024-01-01
607,1391812,1826,457,2024-01-01
608,1392364,4214,101,2024-01-01
609,1392917,963,362,2024-01-01
610,1393469,1794,417,2024-01-01
611,1394021,4056,392,2024-01-01
612,1394574,4042,266,2024-01-01
613,1395126,4506,196,2024-01-01
614,1395678,2483,405,2024-01-01
615,1396231,2794,408,2024-01-01
616,1396783,2160,352,2024-01-01
617,1397335,4324,388,2024-01-01
618,1397887,3258,15,2024-01-01
619,1398440,3041,353,2024-01-01
620,1398992,3141,214,2024-01-01
621,1399544,3459,284,2024-01-01
622,1400097,4002,190,2024-01-01
623,1400649,3504,169,2024-01-01
624,1401201,4932,185,2024-01-01
625,1401754,3076,11,2024-01-01
626,1402306,1980,222,2024-01-01
627,1402858,816,400,2024-01-01
628,1403410,1470,169,2024-01-01
629,1403963,2320,403,2024-01-01
630,1404515,4684,257,2024-01-01
631,1405067,973,338,2024-01-01
632,1405620,876,183,2024-01-01
633,1406172,1739,491,2024-01-01
634,1406724,3484,231,2024-01-01
635,1407277,2391,75,2024-01-01
636,1407829,1654,69,2024-01-01
637,1408381,1045,341,2024-01-01
638,1408933,3408,309,2024-01-01
639,1409486,2830,396,2024-01-01
640,1410038,286,178,2024-01-01
641,1410590,4574,91,2024-01-01
642,1411143,3073,104,2024-01-01
643,1411695,4807,408,2024-01-01
644,1412247,3444,216,2024-01-01
645,1412800,290,450,2024-01-01
646,1413352,3950,312,2024-01-01
647,1413904,3596,428,2024-01-01
648,1414456,2318,182,2024-01-01
649,1415009,4555,351,2024-01-01
650,1415561,2333,146,2024-01-01
651,1416113,4043,262,2024-01-01
652,1416666,1404,237,2024-01-01
653,1417218,1807,310,2024-01-01
654,1417770,600,428,2024-01-01
655,1418323,4728,360,2024-01-01
656,1418875,2364,23,2024-01-01
657,1419427,4213,428,2024-01-01
658,1419979,468,393,2024-01-01
659,1420532,910,403,2024-01-01
660,1421084,974,395,2024-01-01
661,1421636,3672,81,2024-01-01
662,1422189,2312,64,2024-01-01
663,1422741,753,317,2024-01-01
664,1423293,908,317,2024-01-01
665,1423846,4725,231,2024-01-01
666,1424398,4576,438,2024-01-01
667,1424950,2867,21,2024-01-01
668,1425502,1541,157,2024-01-01
669,1426055,4379,345,2024-01-01
670,1426607,713,399,2024-01-01
671,1427159,883,317,2024-01-01
672,1427712,642,338,2024-01-01
673,1428264,4701,78,2024-01-01
674,1428816,803,276,2024-01-01
675,1429369,3567,288,2024-01-01
676,1429921,319,344,2024-01-01
677,1430473,2512,493,2024-01-01
678,1431025,718,225,2024-01-01
679,1431578,4581,383,2024-01-01
680,1432130,885,235,2024-01-01
681,1432682,593,287,2024-01-01
682,1433235,2003,274,2024-01-01
683,1433787,1388,226,2024-01-01
684,1434339,1347,485,2024-01-01
685,1434892,4084,244,2024-01-01
686,1435444,2059,341,2024-01-01
687,1435996,3425,93,2024-01-01
688,1436548,2064,460,2024-01-01
689,1437101,276,456,2024-01-01
690,1437653,1832,214,2024-01-01
691,1438205,2400,302,2024-01-01
692,1440415,4507,134,2024-01-01
693,1440967,526,330,2024-01-01
694,1441519,4374,44,2024-01-01
695,1442071,458,420,2024-01-01
696,1442624,1800,396,2024-01-01
697,1443176,4162,345,2024-01-01
698,1443728,3689,256,2024-01-01
699,1444281,1206,82,2024-01-01
700,1444833,1969,429,2024-01-01
701,1445385,1098,419,2024-01-01
702,1445938,797,407,2024-01-01
703,1446490,3780,188,2024-01-01
704,1447042,2707,75,2024-01-01
705,1447594,2566,316,2024-01-01
706,1448147,1791,155,2024-01-01
707,1448699,1338,334,2024-01-01
708,1449251,4264,423,2024-01-01
709,1449804,2600,160,2024-01-01
710,1450356,785,429,2024-01-01
711,1450908,3535,367,2024-01-01
712,1451461,4369,144,2024-01-01
713,1452013,4299,409,2024-01-01
714,1452565,706,227,2024-01-01
715,1453117,2403,365,2024-01-01
716,1453670,106,423,2024-01-01
717,1454222,4959,225,2024-01-01
718,1454774,701,465,2024-01-01
719,1455327,4005,186,2024-01-01
720,1455879,1337,215,2024-01-01
721,1456431,1090,89,2024-01-01
722,1456984,4560,422,2024-01-01
723,1457536,3412,126,2024-01-01
724,1458088,1256,400,2024-01-01
725,1458640,1461,431,2024-01-01
726,1459193,2132,463,2024-01-01
727,1459745,2375,78,2024-01-01
728,1460297,4249,389,2024-01-01
729,1460850,1785,319,2024-01-01
730,1461402,3403,350,2024-01-01
731,1461954,544,116,2024-01-01
732,1462507,997,302,2024-01-01
733,1463059,2903,241,2024-01-01
734,1463611,881,398,2024-01-01
735,1464163,676,88,2024-01-01
736,1464716,800,453,2024-01-01
737,1465268,3843,422,2024-01-01
738,1465820,3120,120,2024-01-01
739,1466373,3208,185,2024-01-01
740,1466925,1284,47,2024-01-01
741,1467477,1540,373,2024-01-01
742,1468030,2060,442,2024-01-01
743,1468582,2896,54,2024-01-01
744,1469134,3984,189,2024-01-01
745,1469686,3144,186,2024-01-01
746,1470239,1627,17,2024-01-01
747,1470791,2286,333,2024-01-01
748,1471343,263,206,2024-01-01
749,1471896,3244,169,2024-01-01
750,1472448,2368,28,2024-01-01
751,1473000,3768,162,2024-01-01
752,1479076,1045,228,2024-01-01
753,1479628,2325,229,2024-01-01
754,1480180,2404,142,2024-01-01
755,1480732,4559,100,2024-01-01
756,1481285,241,310,2024-01-01
757,1481837,4326,428,2024-01-01
758,1482389,4744,217,2024-01-01
759,1482942,252,374,2024-01-01
760,1483494,2276,406,2024-01-01
761,1484046,4914,241,2024-01-01
762,1484599,537,147,2024-01-01
763,1485151,2085,107,2024-01-01
764,1485703,4839,452,2024-01-01
765,1486255,4077,364,2024-01-01
766,1486808,2433,450,2024-01-01
767,1487360,3051,283,2024-01-01
768,1487912,1235,161,2024-01-01
769,1488465,4530,404,2024-01-01
770,1489017,1294,382,2024-01-01
771,1489569,4328,298,2024-01-01
772,1490122,1312,69,2024-01-01
773,1490674,1855,454,2024-01-01
774,1491226,4735,70,2024-01-01
775,1491778,2601,321,2024-01-01
776,1492331,2671,220,2024-01-01
777,1492883,534,323,2024-01-01
778,1493435,964,292,2024-01-01
779,1493988,3270,453,2024-01-01
780,1494540,1817,463,2024-01-01
781,1495092,2339,68,2024-01-01
782,1495645,3768,302,2024-01-01
783,1496197,2186,274,2024-01-01
